,review,clear_review,predicted,candidat
1339,franchement si jétais Poutou jaccepterais le bail de lunion populaire tas 55 ans tes au chômage tes fatigué tas lutté toute ta vie tu mérites bien un salaire de député et un siège pour roupiller à lassemblée,franch si jet poutou jaccept bail lunion populair tas 55 an chômag fatigu tas lutt tout vi mérit bien salair déput sieg roupill lassembl,1,poutou
1340,larc où Poutou et le vieux mettent la misère aux députés lrem dans une cohabitationje donne tout httpstcoYMsh3PWh7E,larc où poutou vieux mettent miser déput lrem cohabitationj don tout httpstcoymsh3pwh7,0,poutou
466,Imagine juste un groupe parlementaire avec Poutou Besancenot Panot Ruffin Melenchon Jumel Quatennens Obono et toustes les autresBen cest possible  aux legislatives2022 LegislativesUnionPop2022,imagin just group parlementair poutou besancenot panot ruffin melenchon jumel quatennen obono toust autresben cest possibl legislatives2022 legislativesunionpop2022,0,poutou
1343,Présidente de lAssemblée nationale  la parole est à Monsieur Philippe Poutou Le gouvernement  httpstcoumZ2RsopIS,président lassembl national parol monsieur philipp poutou gouvern httpstcoumz2rsop,0,poutou
1344,larc où Poutou et le vieux mettent la misère aux députés lrem dans une cohabitationje donne tout httpstcoYMsh3PWh7E,larc où poutou vieux mettent miser déput lrem cohabitationj don tout httpstcoymsh3pwh7,0,poutou
1345,Besancenot et Poutou a lassemblée  httpstcoOcKg5xDoWp,besancenot poutou a lassembl httpstcoockg5xdowp,0,poutou
1348,Le NPA qui sallient avec la FI aux législatives cest lun des plus beaux coup porté au faux révolutionnaires twitter qui serait pas daccord avec la moitié du programme de Poutou si ils decidaient de le lire,npa sallient fi législ cest lun plus beau coup port faux révolutionnair twitt daccord moiti programm poutou si decid lir,0,poutou
1312,morao pablo Complètement faux de sous entendre que le NPA est absorbé par la FI Le NPA a accepté une rencontre pour linstant et cest une orientation combattue par bcpRP ressasse cela pour faire oublier que ce sont eux les premiers à avoir fait avec Poutou une alliance avec la FI,morao pablo complet faux sous entendr npa absorb fi npa a accept rencontr linst cest orient combattu bcprp ress cel fair oubli premi avoir fait poutou allianc fi,0,poutou
1274,larc où Poutou et le vieux mettent la misère aux députés lrem dans une cohabitationje donne tout httpstcoYMsh3PWh7E,larc où poutou vieux mettent miser déput lrem cohabitationj don tout httpstcoymsh3pwh7,0,poutou
1311,Présidente de lAssemblée nationale  la parole est à Monsieur Philippe Poutou Le gouvernement  httpstcoumZ2RsopIS,président lassembl national parol monsieur philipp poutou gouvern httpstcoumz2rsop,0,poutou
